procedure,dose_category,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30
clinical_ml,high,688,24.901703878768753,31.041934182798038,-1.9097613873287336,0.13517441860465115,False
clinical_ml,intermediate,2936,7.025309736032494,8.888647508517348,-0.6133380468147644,0.547683923705722,False
clinical_ml,low,1786,14.274505946122199,16.091075314810332,-12.192545647765732,0.06382978723404255,False
fixed_35_mg_week,high,688,27.73584302325581,33.172861495891205,-2.3229644862649397,0.0,False
fixed_35_mg_week,intermediate,2936,6.139805907802945,7.288458641758141,-0.08473935075022121,0.5466621253405994,False
fixed_35_mg_week,low,1786,19.29956486931573,19.801506106431777,-18.97813385000659,0.0,False
iwpc_clinical,high,570,24.695151159537215,31.212427651180505,-1.692429612180948,0.14210526315789473,False
iwpc_clinical,intermediate,2360,6.9336859143294465,8.777931154471666,-0.556397910605628,0.5444915254237288,False
iwpc_clinical,low,1372,9.159201960564976,11.343290527535197,-5.691308776640587,0.239067055393586,False
iwpc_pharmacogenetic,high,570,19.917694024635516,27.324679103544334,-1.0634759038166184,0.3105263157894737,False
iwpc_pharmacogenetic,intermediate,2360,6.680941670133131,8.4423364263556,-0.4396655350164924,0.5597457627118644,False
iwpc_pharmacogenetic,low,1372,7.352609631158047,9.738177845679978,-3.931605901732932,0.32653061224489793,False
pharmacogenomic_ml,high,688,20.334780901115472,27.392048611582307,-1.2657336587947432,0.2863372093023256,False
pharmacogenomic_ml,intermediate,2936,7.244247964231732,9.125514206912236,-0.7004689210324371,0.5418937329700273,False
pharmacogenomic_ml,low,1786,8.983879917422371,11.412981069925314,-5.6367684263217095,0.24524076147816348,False
training_mean,high,688,31.886158965190294,36.73636687073124,-3.0752310442854487,0.0,False
training_mean,intermediate,2936,6.138993939679939,7.391938851404864,-0.11575987424266954,0.5868528610354223,False
training_mean,low,1786,16.030698548103047,16.70094866818208,-13.21152727119819,0.0,False
training_median,high,688,34.69805232558139,39.18748712028274,-3.637187535437781,0.0,False
training_median,intermediate,2936,6.713811357394226,8.574555339801632,-0.5013336646678319,0.6021798365122616,False
training_median,low,1786,12.963618620715508,13.76855735082427,-8.659070729105942,0.0,False
