feature_block,median_rank,rank_std
vkorc1,1.0,0.0
weight_kg,2.0,0.4023739080814781
age_decade,3.0,0.0
cyp2c9_group,3.0,0.4023739080814782
amiodarone,7.0,0.4867286327151525
height_cm,7.0,0.4976133515281193
smoker,7.0,0.6500915686417166
enzyme_inducer,9.0,0.717137165600636
indication,9.0,0.6220166894101491
chf_cardiomyopathy,10.0,0.5946187253790689
diabetes,10.0,0.6015852075182383
gender,10.0,0.5606119105813882
valve_replacement,11.0,0.9128709291752776
statin,11.0,0.4183300132670378
target_inr,11.0,0.8451542547285162
