procedure,scope,group,n,interval_coverage_90,interval_mean_width_mg_week,suppressed_n_lt_30
clinical_ml,overall,All,5410,0.8787430683918669,43.56737729611697,False
pharmacogenomic_ml,overall,All,5410,0.9042513863216266,38.73965406838822,False
clinical_ml,site,1,430,0.9,42.682955078841466,False
clinical_ml,site,2,126,0.8492063492063492,43.04535985762637,False
clinical_ml,site,3,828,0.7958937198067633,45.32187566495704,False
clinical_ml,site,4,206,0.9757281553398058,43.41775590129565,False
clinical_ml,site,5,350,0.8685714285714285,42.41722353417884,False
clinical_ml,site,6,280,0.9428571428571428,43.61196804066939,False
clinical_ml,site,7,436,0.9013761467889908,43.13113410377938,False
clinical_ml,site,8,259,0.9884169884169884,44.62179834149455,False
clinical_ml,site,9,213,0.8873239436619719,42.89710668160393,False
clinical_ml,site,10,146,0.8424657534246576,43.83041248792898,False
clinical_ml,site,11,115,0.808695652173913,43.84981657246514,False
clinical_ml,site,12,168,0.9166666666666666,43.72600872386649,False
clinical_ml,site,13,63,0.9047619047619048,44.194515622555066,False
clinical_ml,site,14,300,0.8433333333333334,42.16170883278496,False
clinical_ml,site,15,315,0.8095238095238095,41.71646235803188,False
clinical_ml,site,16,92,0.8913043478260869,44.27084623843728,False
clinical_ml,site,17,217,0.9124423963133641,42.734689600208206,False
clinical_ml,site,18,266,0.9323308270676691,44.37414391361612,False
clinical_ml,site,19,203,0.9014778325123153,44.34866150590413,False
clinical_ml,site,20,110,0.8090909090909091,44.19609022120671,False
clinical_ml,site,21,287,0.9024390243902439,43.62112811428717,False
pharmacogenomic_ml,site,1,430,0.8744186046511628,37.25095845719789,False
pharmacogenomic_ml,site,2,126,0.8571428571428571,39.351586780740604,False
pharmacogenomic_ml,site,3,828,0.9528985507246377,38.16805747679182,False
pharmacogenomic_ml,site,4,206,0.9854368932038835,38.91169939933835,False
pharmacogenomic_ml,site,5,350,0.9371428571428572,39.78765566219844,False
pharmacogenomic_ml,site,6,280,0.9428571428571428,37.2802123982331,False
pharmacogenomic_ml,site,7,436,0.9334862385321101,39.57171261830341,False
pharmacogenomic_ml,site,8,259,0.9768339768339769,39.48491834706563,False
pharmacogenomic_ml,site,9,213,0.892018779342723,39.52715038898096,False
pharmacogenomic_ml,site,10,146,0.8835616438356164,39.204586460459474,False
pharmacogenomic_ml,site,11,115,0.8521739130434782,40.01860012462369,False
pharmacogenomic_ml,site,12,168,0.9345238095238095,39.39461723381517,False
pharmacogenomic_ml,site,13,63,0.9206349206349206,38.78882303521023,False
pharmacogenomic_ml,site,14,300,0.8,37.47554071558406,False
pharmacogenomic_ml,site,15,315,0.8095238095238095,37.13426763711183,False
pharmacogenomic_ml,site,16,92,0.9021739130434783,39.642392144245306,False
pharmacogenomic_ml,site,17,217,0.9170506912442397,39.357020713809554,False
pharmacogenomic_ml,site,18,266,0.8721804511278195,40.166257228518404,False
pharmacogenomic_ml,site,19,203,0.8866995073891626,39.17625608217957,False
pharmacogenomic_ml,site,20,110,0.8272727272727273,40.024499858033444,False
pharmacogenomic_ml,site,21,287,0.8780487804878049,38.91234342830608,False
clinical_ml,subgroup:gender,Female,2259,0.8995130588756087,43.47453908788461,False
clinical_ml,subgroup:gender,Male,3147,0.8639974578964092,43.631716891653205,False
clinical_ml,subgroup:gender,Unknown,4,,,True
pharmacogenomic_ml,subgroup:gender,Female,2259,0.9096945551128818,38.49792726860796,False
pharmacogenomic_ml,subgroup:gender,Male,3147,0.9005401970130282,38.91244930348153,False
pharmacogenomic_ml,subgroup:gender,Unknown,4,,,True
clinical_ml,subgroup:age_group,50-69,2346,0.8670076726342711,43.756391791957846,False
clinical_ml,subgroup:age_group,70+,2169,0.9234670355002306,43.33604748120453,False
clinical_ml,subgroup:age_group,<50,856,0.802570093457944,43.55299588276378,False
clinical_ml,subgroup:age_group,Unknown,39,0.7692307692307693,45.378578607212326,False
pharmacogenomic_ml,subgroup:age_group,50-69,2346,0.8930093776641091,39.10976138529518,False
pharmacogenomic_ml,subgroup:age_group,70+,2169,0.9428307976025818,38.17576630282114,False
pharmacogenomic_ml,subgroup:age_group,<50,856,0.8364485981308412,39.143742933307266,False
pharmacogenomic_ml,subgroup:age_group,Unknown,39,0.9230769230769231,38.967877906351774,False
clinical_ml,subgroup:race_audit,Asian,1571,0.8765117759388924,44.78795743277489,False
clinical_ml,subgroup:race_audit,Black or African American,458,0.8449781659388647,43.22879793172736,False
clinical_ml,subgroup:race_audit,Unknown,478,0.897489539748954,42.84509417251018,False
clinical_ml,subgroup:race_audit,White,2903,0.882190837065105,43.07918896931191,False
pharmacogenomic_ml,subgroup:race_audit,Asian,1571,0.9484404837683005,38.813441178805846,False
pharmacogenomic_ml,subgroup:race_audit,Black or African American,458,0.8209606986899564,38.966308523426186,False
pharmacogenomic_ml,subgroup:race_audit,Unknown,478,0.899581589958159,39.373925740434764,False
pharmacogenomic_ml,subgroup:race_audit,White,2903,0.8942473303479159,38.55952690679272,False
clinical_ml,subgroup:cyp2c9_availability,Available,5295,0.8791312559017942,43.568045447154745,False
clinical_ml,subgroup:cyp2c9_availability,Missing,115,0.8608695652173913,43.53661329833444,False
pharmacogenomic_ml,subgroup:cyp2c9_availability,Available,5295,0.9057601510859301,38.726996086679755,False
pharmacogenomic_ml,subgroup:cyp2c9_availability,Missing,115,0.8347826086956521,39.32247157400816,False
clinical_ml,subgroup:cyp2c9_group,Normal,3971,0.8725761772853186,43.71137121514817,False
clinical_ml,subgroup:cyp2c9_group,One decreased,1179,0.910941475826972,43.16344231933632,False
clinical_ml,subgroup:cyp2c9_group,Other observed,9,,,True
clinical_ml,subgroup:cyp2c9_group,Two decreased,136,0.7867647058823529,42.86189544746771,False
clinical_ml,subgroup:cyp2c9_group,Unknown,115,0.8608695652173913,43.53661329833444,False
pharmacogenomic_ml,subgroup:cyp2c9_group,Normal,3971,0.9010324855200201,39.00421092265213,False
pharmacogenomic_ml,subgroup:cyp2c9_group,One decreased,1179,0.9202714164546225,38.20007013725443,False
pharmacogenomic_ml,subgroup:cyp2c9_group,Other observed,9,,,True
pharmacogenomic_ml,subgroup:cyp2c9_group,Two decreased,136,0.9191176470588235,35.14597564904019,False
