procedure_a,procedure_b,n_shared_finite,mae_mg_week_difference,mae_mg_week_difference_ci95_lower,mae_mg_week_difference_ci95_upper,rmse_mg_week_difference,rmse_mg_week_difference_ci95_lower,rmse_mg_week_difference_ci95_upper,r2_difference,r2_difference_ci95_lower,r2_difference_ci95_upper,pw20_difference,pw20_difference_ci95_lower,pw20_difference_ci95_upper
clinical_ml,fixed_35_mg_week,5410,-1.538780726164287,-2.224396459323251,-1.0471807583442867,-1.4291966074389126,-2.135333793737954,-0.9194154666193451,0.16743089469531947,0.1125023563659132,0.26380685627324485,0.038817005545286554,0.025509599771945973,0.054200727780321416
clinical_ml,iwpc_clinical,4302,1.7028161547216314,0.038251990461737675,4.0009209845554405,1.4233494577721064,0.014451904575248867,3.5069809792834894,-0.1490637792037247,-0.41861861022366964,-0.0015275397095494414,-0.052766155276615545,-0.11437175986792958,0.000680322926435198
clinical_ml,iwpc_pharmacogenetic,4302,3.050624536670396,1.4369075373629216,4.981686058090022,3.0248985171858163,1.6527962356300008,4.726255763100831,-0.3001935909577569,-0.5392281825410001,-0.1583081585772827,-0.11134356113435612,-0.1691912648320009,-0.046516999611959306
clinical_ml,pharmacogenomic_ml,5410,2.208557940460329,0.5973124880598696,4.147671984079922,2.289326203269786,0.9368828409520533,3.9534680753984577,-0.2380737262492154,-0.45534095906572203,-0.09845189712171101,-0.07597042513863211,-0.13122291958554858,-0.023238204686883042
clinical_ml,training_mean,5410,-0.9869948074870099,-1.6659108550233912,-0.3453697235176308,-1.2879729413601613,-2.19124609249908,-0.41602434281240624,0.1502428931780363,0.057154460252087855,0.24336633465408727,0.017005545286506496,-0.003747347102490985,0.04031403928224415
clinical_ml,training_median,5410,-0.6440080829110535,-1.7831264304924264,0.6786160569217099,-1.4164425595893082,-2.825415239000188,0.24550107199001647,0.1658728318006225,-0.03510441363013151,0.31995327632719284,0.00868761552680225,-0.01099845599869355,0.03071261799982966
fixed_35_mg_week,iwpc_clinical,4302,3.22110715789365,1.3969024624667028,5.271775908577929,2.8712003333760094,1.4030839885893083,4.645446020076245,-0.31493481271917756,-0.5775027726785449,-0.154721221592526,-0.09530450953045094,-0.15664292695547183,-0.03776337988336479
fixed_35_mg_week,iwpc_pharmacogenetic,4302,4.568915539842415,2.9243684379289205,6.457649125988458,4.472749392789719,3.1209867026917886,6.035241246954848,-0.46606462447320973,-0.7247368989029452,-0.3151625916351196,-0.15388191538819151,-0.21193797336650205,-0.09371903455420996
fixed_35_mg_week,pharmacogenomic_ml,5410,3.747338666624616,2.1333955134534457,5.492300547906451,3.7185228107086985,2.4355587788014494,5.252783498358128,-0.4055046209445349,-0.6416409002786928,-0.2580144701045362,-0.11478743068391867,-0.16957002661761178,-0.06251508065189557
fixed_35_mg_week,training_mean,5410,0.5517859186772771,0.018682747661157958,1.0420441350252196,0.14122366607875136,-0.49661878995410974,0.792006008918215,-0.01718800151728317,-0.11520228343664811,0.055991954305529355,-0.021811460258780058,-0.04608040449918661,0.005223289925730398
fixed_35_mg_week,training_median,5410,0.8947726432532335,-0.25889844770434395,2.046988692023166,0.012754047849604433,-1.217710991895908,1.3499851340294995,-0.0015580628946969544,-0.18830874220753738,0.14318466480182407,-0.030129390018484303,-0.05518890157055372,-0.0028687899206684057
iwpc_clinical,iwpc_pharmacogenetic,4302,1.3478083819487647,0.9029721531811519,1.9169920391038218,1.6015490594137098,1.1160206498939436,2.1779919338067084,-0.15112981175403217,-0.2184356447084494,-0.10689431139627398,-0.05857740585774057,-0.09135090019463656,-0.02759575194920028
iwpc_clinical,pharmacogenomic_ml,4302,0.6998068869187879,0.1893916497156889,1.3244990827151302,1.009576452360534,0.4825879490892519,1.6366509269653093,-0.09731585126913789,-0.1626641502751752,-0.04960623210302314,-0.03068340306834033,-0.06105162844529092,-0.0026331419564471063
iwpc_clinical,training_mean,4302,-2.755368495842527,-4.5075399623208385,-1.3506228230929365,-2.8604684468727726,-4.160382613823123,-1.7529506049268693,0.31365249290212494,0.19853099448039938,0.49947296302036914,0.07415155741515572,0.02943437448238338,0.11887302638029623
iwpc_clinical,training_median,4302,-2.4588337966663154,-3.4915120643007564,-1.4506591089228282,-3.0438617319548484,-3.831311169093346,-2.255336355632411,0.33567406516484444,0.2562739513444974,0.42490840394127544,0.06648070664807065,0.019839680153364455,0.11637300449926555
iwpc_pharmacogenetic,pharmacogenomic_ml,4302,-0.6480014950299768,-1.1507052798617485,-0.18358738331304067,-0.5919726070531759,-1.0711985621824496,-0.15169334842433607,0.053813960484894285,0.013275348133903981,0.10521241281728547,0.02789400278940024,-0.010343977033587566,0.06959335783608446
iwpc_pharmacogenetic,training_mean,4302,-4.103176877791292,-5.577712737388711,-2.7029304364897278,-4.462017506286482,-5.529447785564941,-3.3539876582077253,0.4647823046561571,0.3538437145469082,0.6362155274753182,0.1327289632728963,0.07280149114570758,0.1771589706880095
iwpc_pharmacogenetic,training_median,4302,-3.80664217861508,-4.634712575892358,-2.787470254658519,-4.645410791368558,-5.41034927130123,-3.8048509839999602,0.4868038769188766,0.40905330091996284,0.5855892146654206,0.12505811250581123,0.06415656998191997,0.1732496580764422
pharmacogenomic_ml,training_mean,5410,-3.195552747947339,-4.714859094759732,-1.8211025025176433,-3.577299144629947,-4.762927895789555,-2.4703450470723842,0.3883166194272517,0.2753538880320969,0.5675440601944423,0.09297597042513861,0.0422830461027031,0.14412987060434562
pharmacogenomic_ml,training_median,5410,-2.8525660233713825,-3.7923994882803593,-1.8075997555297239,-3.705768762859094,-4.592129419509052,-2.7725605174475065,0.4039465580498379,0.3203403520774189,0.49084670043140594,0.08465804066543436,0.030900524579198965,0.1387007818215333
training_mean,training_median,5410,0.34298672457595636,-0.3218738704928451,1.049825641112325,-0.12846961822914693,-0.7762805697886613,0.650376183868773,0.015629938622586215,-0.08877375132084916,0.09363498998952083,-0.008317929759704246,-0.020773661496564837,0.00291633986431302
