procedure,site,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30
clinical_ml,1,430,10.73627428631676,15.020735927144264,0.16862236930326802,0.37906976744186044,False
clinical_ml,2,126,11.889376716285161,15.965796391906592,-0.04235596288435084,0.3333333333333333,False
clinical_ml,3,828,15.860016514284471,17.773030338032132,-2.6095187304630865,0.12077294685990338,False
clinical_ml,4,206,9.592933977309615,11.482184785017624,-0.3613754889492593,0.22815533980582525,False
clinical_ml,5,350,10.907649491143852,14.698355349846787,0.1284538310665806,0.4142857142857143,False
clinical_ml,6,280,9.66167317110976,12.250317410919074,0.23755685716232378,0.33214285714285713,False
clinical_ml,7,436,10.379910814370222,14.1413385800584,0.03883985814923585,0.3761467889908257,False
clinical_ml,8,259,7.4448222774809985,9.193352991354834,-0.22254988995055536,0.47104247104247104,False
clinical_ml,9,213,10.342040849695612,13.84377255909471,0.026396912270807982,0.352112676056338,False
clinical_ml,10,146,13.290320514191366,18.29122081377985,0.08507144050173954,0.3698630136986301,False
clinical_ml,11,115,12.9488738668504,16.67775405697189,0.1369014553299095,0.391304347826087,False
clinical_ml,12,168,10.33891190081234,13.638188387544274,0.16548362629399482,0.39880952380952384,False
clinical_ml,13,63,14.107774871584436,15.824264484343063,0.016244015336296935,0.15873015873015872,False
clinical_ml,14,300,12.97816282975407,19.93662930843554,0.16352523829631993,0.41,False
clinical_ml,15,315,14.525731049941374,25.195174709651013,0.021879780413282757,0.3523809523809524,False
clinical_ml,16,92,10.643233962791978,13.978608171983899,0.218295062966274,0.41304347826086957,False
clinical_ml,17,217,10.118038340926919,12.59380566667113,0.022717067239748867,0.4009216589861751,False
clinical_ml,18,266,9.580105388601169,12.80850284546454,0.1168117331440417,0.3383458646616541,False
clinical_ml,19,203,11.037987509463123,14.103961822032565,-0.02761008409925969,0.35960591133004927,False
clinical_ml,20,110,13.34066520566931,17.91689353078281,0.07639191130047585,0.34545454545454546,False
clinical_ml,21,287,10.08650956262549,13.614373473016304,0.17985753457441134,0.445993031358885,False
fixed_35_mg_week,1,430,12.125581395348837,16.474081122697232,-4.216913233867636e-05,0.3558139534883721,False
fixed_35_mg_week,2,126,12.082777777777777,15.638050283416622,-2.1329298727224e-07,0.3968253968253968,False
fixed_35_mg_week,3,828,16.57006038647343,18.159074670103546,-2.768024901868143,0.08816425120772947,False
fixed_35_mg_week,4,206,15.296699029126213,16.99888485777132,-1.9838001255439472,0.13592233009708737,False
fixed_35_mg_week,5,350,11.636914285714285,15.882548841866841,-0.01763799072361838,0.42,False
fixed_35_mg_week,6,280,14.33075,16.823360321291343,-0.43793174969727566,0.2571428571428571,False
fixed_35_mg_week,7,436,11.359518348623853,14.56531379084186,-0.019657698506511556,0.3646788990825688,False
fixed_35_mg_week,8,259,8.917953667953668,10.616505234665661,-0.6303538591408768,0.4015444015444015,False
fixed_35_mg_week,9,213,11.911971830985916,14.607732774373707,-0.0840234132458979,0.3192488262910798,False
fixed_35_mg_week,10,146,13.598698630136989,19.169591841504165,-0.004910840082988033,0.3493150684931507,False
fixed_35_mg_week,11,115,15.591304347826087,20.477585837669693,-0.3011961339595186,0.3391304347826087,False
fixed_35_mg_week,12,168,11.855654761904763,15.021871455441547,-0.012440651341734998,0.3630952380952381,False
fixed_35_mg_week,13,63,18.44206349206349,20.439004301222624,-0.6411935119127758,0.14285714285714285,False
fixed_35_mg_week,14,300,14.629833333333332,22.328304451226625,-0.04920623927045642,0.35,False
fixed_35_mg_week,15,315,15.237301587301587,25.741676879555236,-0.021012731110247262,0.33015873015873015,False
fixed_35_mg_week,16,92,11.591304347826087,15.921307844466199,-0.014080592171776152,0.34782608695652173,False
fixed_35_mg_week,17,217,10.34447004608295,13.158255543197669,-0.06684904382884693,0.391705069124424,False
fixed_35_mg_week,18,266,12.686052631578946,15.418813610582843,-0.2798482227309187,0.2631578947368421,False
fixed_35_mg_week,19,203,11.814827586206896,14.8783231582057,-0.1435471734596827,0.2857142857142857,False
fixed_35_mg_week,20,110,14.25727272727273,19.096329966300285,-0.04920927792341456,0.33636363636363636,False
